id,name
100130361,CXorf49
100130370,LOC100130370
100130372,LOC100130372
100130433,LOC100130433
100130436,LOC100130436
100130442,LOC100130442
100130451,LOC100130451
100130463,LOC100130463
100130519,TMEM221
100130520,LOC100130520
100130539,C10orf142
100130540,LOC100130540
100130542,LOC100130542
100130560,LOC100130560
100130573,LOC100130573
100130597,LOC100130597
100130613,PRR32
100130654,LOC100130654
100130657,LOC100130657
100130705,LOC100130705
100130733,LRRC70
100130741,LOC100130741
100130742,LRRC69
100130761,LOC100130761
100130778,LOC100130778
100130817,LOC100130817
100130827,SBK3
100130857,LOC100130857
100130863,ZNF840P
100130865,LOC100130865
100130880,LOC100130880
100130890,TSTD3
100130920,LOC100130920
100130927,LOC100130927
100130933,SMIM6
100130958,SYCE1L
100130967,C6orf99
100130976,LOC100130976
100130988,C7orf72
100131000,LOC100131000
100131004,LOC100131004
100131017,ZNF316
100131032,LOC100131032
100131034,LOC100131034
100131094,DPP9-AS1
100131099,LOC100131099
100131101,LOC100131101
100131107,LOC100131107
100131129,LOC100131129
100131137,BSPH1
100131150,LOC100131150
100131170,LOC100131170
100131187,TSTD1
100131190,LOC100131190
100131195,LOC100131195
100131211,NEMP2
100131242,LOC100131242
100131244,ANKRD63
100131303,LOC100131303
100131310,LOC100131310
100131355,LOC100131355
100131378,C11orf91
100131390,SP9
100131439,CD300LD
100131539,ZNF705E
100131581,LOC100131581
100131599,LOC100131599
100131608,PRR23D1
100131654,LOC100131654
100131719,LOC100131719
100131755,ARMCX4
100131801,PET100
100131820,LOC100131820
100131821,LOC100131821
100131822,LOC100131822
100131827,ZNF717
100131829,LOC100131829
100131840,LOC100131840
100131860,LOC100131860
100131864,LOC100131864
100131878,LOC100131878
100131894,LOC100131894
100131897,FAM196B
100131902,KRTAP25-1
100131907,LOC100131907
100131980,ZNF705G
100132004,LOC100132004
100132006,LOC100132006
100132025,LOC100132025
100132069,LOC100132069
100132071,LOC100132071
100132074,FOXO6
100132146,LOC100132146
100132154,LOC100132154
100132197,LOC100132197
100132247,NPIPB5
100132257,LOC100132257
100132285,KIR2DS2
100132363,LOC100132363
100132365,LOC100132365
100132386,KRTAP4-9
100132396,ZNF705B
100132399,GAGE12D
100132403,FAM157B
100132406,NBPF10
100132418,LOC100132418
100132439,FAM27E4
100132463,CLDN24
100132474,LOC100132474
100132476,KRTAP4-7
100132495,LOC100132495
100132506,FAM197Y3
100132612,LOC100132612
100132731,LOC100132731
100132800,LOC100132800
100132874,LOC100132874
100132911,DPH3P1
100132916,FAM159B
100132932,FAM197Y9
100132963,SMIM9
100132994,CXorf49B
100133053,CXorf51B
100133093,FAM25G
100133128,LOC100133128
100133130,LOC100133130
100133145,LOC100133145
100133220,GOLGA6L3
100133251,PRR23D2
100133267,LOC100133267
100133301,FAM231B
100133790,MUC3
100133941,CD24
100134240,LOC100134240
100134301,LOC100134301
100134391,LOC100134391
100134444,KCNJ18
100134934,TEN1
100134938,UPK3BL
